Issue,Date,Words,Title,Author
Vol. 2 No. 10,22 May 1980,3766,Short Books on Great Men,John Dunn
Vol. 2 No. 10,22 May 1980,1499,Looking back,John Sutherland
Vol. 2 No. 10,22 May 1980,2338,John Ziman on the true enchantment of physics,John Ziman
Vol. 2 No. 10,22 May 1980,3378,The Whole Secret of Clive James,Karl Miller
Vol. 2 No. 10,22 May 1980,2749,Ministers and Officials,Leo Pliatzky
Vol. 2 No. 10,22 May 1980,2631,In Praise of Pritchett,Martin Amis
Vol. 2 No. 10,22 May 1980,164,Poem: ‘La Nuit Américaine’,Michael Hofmann
Vol. 2 No. 10,22 May 1980,3321,Bogey’s Clean Sweep,Michael Holroyd
Vol. 2 No. 10,22 May 1980,2023,Red Souls,Neal Ascherson
Vol. 2 No. 10,22 May 1980,2249,"Strachey, Prospero, and The Seventh Heaven",Peter Clarke
Vol. 2 No. 10,22 May 1980,2446,Sir Jim,Reyner Banham
Vol. 2 No. 10,22 May 1980,3203,Poet-in-Ordinary,Samuel Hynes
Vol. 2 No. 10,22 May 1980,5501,The Deconstruction Gang,S.L. Goldberg
Vol. 2 No. 10,22 May 1980,4918,Works of Love in Nebraska,Wayne Booth
Vol. 2 No. 11,5 June 1980,3231,Alasdair MacIntyre on the claims of philosophy,Alasdair MacIntyre
Vol. 2 No. 11,5 June 1980,3158,Keys to Shakespeare,Anne Barton
Vol. 2 No. 11,5 June 1980,4335,Animal Happiness,Brigid Brophy
Vol. 2 No. 11,5 June 1980,632,"Poem: ‘People in Kansas, 1910’",Christopher Middleton
Vol. 2 No. 11,5 June 1980,2008,Solitary Reapers,Christopher Salvesen
Vol. 2 No. 11,5 June 1980,3283,A Blizzard of Tiny Kisses,Clive James
Vol. 2 No. 11,5 June 1980,2140,Accessibility,Derek Mahon
Vol. 2 No. 11,5 June 1980,3227,"Remembering the Movement, and researching it",Frank Kermode
Vol. 2 No. 11,5 June 1980,601,Poem: ‘Scotland’,Frederick Seidel
Vol. 2 No. 11,5 June 1980,2629,Meyer Schapiro’s Mousetrap,Gabriel Josipovici
Vol. 2 No. 11,5 June 1980,1119,Re-Livings,George Steiner
Vol. 2 No. 11,5 June 1980,3652,Vienna: Myth and Reality,Hans Keller
Vol. 2 No. 11,5 June 1980,2393,The Future of John Barth,Michael Irwin
Vol. 2 No. 11,5 June 1980,2200,Two Visits to the Dentist,Michael Mason
Vol. 2 No. 11,5 June 1980,1838,Romeo and Tito,Penelope Gilliatt
Vol. 2 No. 11,5 June 1980,1900,Trail of the Green Blazer,R.K. Narayan
Vol. 2 No. 11,5 June 1980,1314,Yugoslavia’s Past,Robert Kee
Vol. 2 No. 11,5 June 1980,4916,Roger Poole on the seductions and dangers of structuralism,Roger Poole
Vol. 2 No. 11,5 June 1980,1951,Portrait of the Scottish Poor,Rosalind Mitchison
Vol. 2 No. 11,5 June 1980,1800,William Empson remembers I.A. Richards,William Empson
Vol. 2 No. 12,19 June 1980,3942,Babylons,A.D. Moody
Vol. 2 No. 12,19 June 1980,3120,Saving the World,Barbara Wootton
Vol. 2 No. 12,19 June 1980,1578,Barraclough’s Overview,C.B. Macpherson
Vol. 2 No. 12,19 June 1980,3858,Mantegna’s Classical World,Charles Hope
Vol. 2 No. 12,19 June 1980,2631,Exact Walking,Christopher Hill
Vol. 2 No. 12,19 June 1980,260,Poem: ‘Charnel’,Christopher Reid
Vol. 2 No. 12,19 June 1980,3498,On the eve of something in South Africa,Dan Jacobson
Vol. 2 No. 12,19 June 1980,3502,Roman History in Chains,Fergus Millar
Vol. 2 No. 12,19 June 1980,1767,Youth,Frank Kermode
Vol. 2 No. 12,19 June 1980,2642,A Hindu Marriage,Gabriele Annan
Vol. 2 No. 12,19 June 1980,4207,G.M. Trevelyan’s Two Terrible Things,John Vincent
Vol. 2 No. 12,19 June 1980,2038,Spies and Secret Agents,Ken Follett
Vol. 2 No. 12,19 June 1980,880,Leslie Scarman writes in praise of a dynamic judge,Leslie Scarman
Vol. 2 No. 12,19 June 1980,2634,Sacred Peter,Norman MacCaig
Vol. 2 No. 12,19 June 1980,265,Poem: ‘The Spinsters and the Knitters in the Sun’,Patricia Beer
Vol. 2 No. 12,19 June 1980,3512,Shahdenfreude,Robert Graham
Vol. 2 No. 12,19 June 1980,1743,Queen to King Four,Robert Taubman
Vol. 2 No. 12,19 June 1980,3880,Trashing the Supreme Court,Ronald Dworkin
Vol. 2 No. 12,19 June 1980,2227,Nuclear Family,Rudolf Peierls
Vol. 2 No. 12,19 June 1980,932,Unfair to gays,Simon Raven
Vol. 2 No. 12,19 June 1980,2013,Driving Force,Stuart Hampshire
Vol. 2 No. 13,3 July 1980,2795,All the Advantages,C.H. Sisson
Vol. 2 No. 13,3 July 1980,2610,Remaking the Centre,David Marquand
Vol. 2 No. 13,3 July 1980,228,Poem: ‘Table Talk’,Derek Mahon
Vol. 2 No. 13,3 July 1980,2100,Greens,E.S. Turner
Vol. 2 No. 13,3 July 1980,3027,Pareto and Elitism,Geoffrey Hawthorn
Vol. 2 No. 13,3 July 1980,3590,Traven identified,George Woodcock
Vol. 2 No. 13,3 July 1980,1889,Dying Cultures,Graham Hough
Vol. 2 No. 13,3 July 1980,2664,Soccer Sociology,Hans Keller
Vol. 2 No. 13,3 July 1980,1927,Defence of poetry,Hugh Lloyd-Jones
Vol. 2 No. 13,3 July 1980,1696,Necessary Bishop,John Robinson
Vol. 2 No. 13,3 July 1980,1465,Cucurbits,John Sturrock
Vol. 2 No. 13,3 July 1980,2576,Dark Pieces on Dark Places,Malcolm Deas
Vol. 2 No. 13,3 July 1980,2506,Bloom’s Gnovel,Marilyn Butler
Vol. 2 No. 13,3 July 1980,2548,Wise Words,Mark Elvin
Vol. 2 No. 13,3 July 1980,1521,Armageddon,Martin Woollacott
Vol. 2 No. 13,3 July 1980,2775,The Sun-Bather,Michael Neve
Vol. 2 No. 13,3 July 1980,1913,Taking pictures,Peter Campbell
Vol. 2 No. 13,3 July 1980,3591,Social Policy,Ralf Dahrendorf
Vol. 2 No. 13,3 July 1980,3194,Isn’t the news terrible?,Raymond Williams
Vol. 2 No. 13,3 July 1980,5248,Euro-Gramscism,Tom Nairn
