Issue,Date,Words,Title,Author
Vol. 22 No. 18,21 September 2000,877,Two Poems,Mark Doty
Vol. 22 No. 18,21 September 2000,7019,The Inevitable Pit: Isn’t that a Jewish name?,Stephen Greenblatt
Vol. 22 No. 18,21 September 2000,976,Short Cuts: statistics and reading,Thomas Jones
Vol. 22 No. 18,21 September 2000,5007,A Thousand Mosquito Bites: Jews in Wartime Dresden,Thomas Powers
Vol. 22 No. 18,21 September 2000,4216,Daisy packs her bags: The Road to West Egg,Zachary Leader
Vol. 22 No. 19,5 October 2000,3526,Self-Hugging: A Paean to Boswell,Andrew O’Hagan
Vol. 22 No. 19,5 October 2000,2892,My Milk: on becoming a mother,Anne Enright
Vol. 22 No. 19,5 October 2000,398,Two Poems,Charles Simic
Vol. 22 No. 19,5 October 2000,3556,Truckers’ Tantrums: Put up the price of oil,Edward Luttwak
Vol. 22 No. 19,5 October 2000,3105,The man who would put to sea on a bathmat: Anne Carson,Elizabeth Lowry
Vol. 22 No. 19,5 October 2000,2320,Don’t lock up the wife: Georgina Weldon,E.S. Turner
Vol. 22 No. 19,5 October 2000,4040,Royal Classic Knitwear: Iris and Laura,Margaret Anne Doody
Vol. 22 No. 19,5 October 2000,6293,In the Tart Shop: How Sydney got its Opera House,Murray Sayle
Vol. 22 No. 19,5 October 2000,2413,Get rid of time and everything’s dancing: Kray Sisters et al,Patrick McGuinness
Vol. 22 No. 19,5 October 2000,705,At Dulwich Picture Gallery: Gerrit Dou,Peter Campbell
Vol. 22 No. 19,5 October 2000,820,Short Cuts: National Poetry Day,Thomas Jones
Vol. 22 No. 19,5 October 2000,12081,Festival of Punishment: On Death Row,Thomas Laqueur
Vol. 22 No. 19,5 October 2000,1948,Poem: ‘From ‘The Structure of Days Out’’,Tom Lowenstein
Vol. 22 No. 19,5 October 2000,3864,Flattery and Whining: Prologomania,William Gass
Vol. 22 No. 20,19 October 2000,228,"Poem: ‘September: Lake Wannsee, Berlin’",August Kleinzahler
Vol. 22 No. 20,19 October 2000,2719,No Tricks: Raymond Carver,Frank Kermode
Vol. 22 No. 20,19 October 2000,2626,Missing Mother: romanticism,Graham Robb
Vol. 22 No. 20,19 October 2000,6520,How Shall I Know You?,Hilary Mantel
Vol. 22 No. 20,19 October 2000,3591,Bodyworlds: the human body,Iain Bamforth
Vol. 22 No. 20,19 October 2000,2750,Termagant: The Cliveden Set,Ian Gilmour
Vol. 22 No. 20,19 October 2000,5966,What did Aum Shinrikyo have in mind?: Sarin in the Subway,Ian Hacking
Vol. 22 No. 20,19 October 2000,1604,Prince of the Track: Jane Smiley,James Ward
Vol. 22 No. 20,19 October 2000,4527,What a Woman!: Joan of Arc,J.L. Nelson
Vol. 22 No. 20,19 October 2000,5689,All Together Now: The British Trade Union,John Lloyd
Vol. 22 No. 20,19 October 2000,2412,Get out: Francis Bacon,Julian Bell
Vol. 22 No. 20,19 October 2000,576,At the V&amp;A: fashion photography,Peter Campbell
Vol. 22 No. 20,19 October 2000,3180,Bugger everyone: The prime ministers 1945-2000,R.W. Johnson
Vol. 22 No. 20,19 October 2000,623,Three Poems,Simon Armitage
Vol. 22 No. 20,19 October 2000,3019,Seating Arrangements at the Table of World Morality: the guilt of nations,Simon Chesterman
Vol. 22 No. 20,19 October 2000,2575,No Loaded Guns in Class: Kurban Said,Thomas de Waal
Vol. 22 No. 20,19 October 2000,899,Short Cuts: What’s in a name?,Thomas Jones
Vol. 22 No. 21,2 November 2000,5507,A Cure for Arthritis and Other Tales,Alan Bennett
Vol. 22 No. 21,2 November 2000,2426,"No Dancing, No Music: New Puritans",Alex Clark
Vol. 22 No. 21,2 November 2000,3098,Pink Elephants,Alex Oliver
Vol. 22 No. 21,2 November 2000,2983,Dive In!: Hegelian reflections,Bruce Robbins
Vol. 22 No. 21,2 November 2000,2670,Face to Face with Merce Cunningham,James Davidson
Vol. 22 No. 21,2 November 2000,1310,Short Cuts: the Booker Prize shortlist,James Francken
Vol. 22 No. 21,2 November 2000,1159,Poem: ‘Returning the Gift’,James Lasdun
Vol. 22 No. 21,2 November 2000,2162,Not Entirely Nice: Where does Tosca get the bread knife from?,Jerry Fodor
Vol. 22 No. 21,2 November 2000,2026,Hven’s Gate: Tycho Brahe,J.L. Heilbron
Vol. 22 No. 21,2 November 2000,3940,Inside the Head: The Corruption of Literary Biography,John Barrell
Vol. 22 No. 21,2 November 2000,3081,More Fun to Be a Boy: Haunted by du Maurier,Lorna Scott Fox
Vol. 22 No. 21,2 November 2000,3774,Leaping on Tables: Thomas Carlyle,Norman Vance
Vol. 22 No. 21,2 November 2000,2955,Medes and Persians: The Government’s Favourite Accountants,Paul Foot
Vol. 22 No. 21,2 November 2000,995,At the National Gallery,Peter Campbell
Vol. 22 No. 21,2 November 2000,3497,Spliffing: drugs,Richard Davenport-Hines
Vol. 22 No. 21,2 November 2000,1981,They might be giants: classical palaeontology,Richard Fortey
Vol. 22 No. 21,2 November 2000,6327,How far shall I take this character?: The Corruption of Literary Biography,Richard Poirier
Vol. 22 No. 21,2 November 2000,3272,Dark Sayings: Lawrence Norfolk,Thomas Jones
Vol. 22 No. 22,16 November 2000,4059,Knitting: Charm,Adam Phillips
Vol. 22 No. 22,16 November 2000,2173,The Dark Horse Intimacy: Helen Simpson,Daniel Soar
Vol. 22 No. 22,16 November 2000,3727,How do they see you?: Martha Nussbaum,Elizabeth Spelman
Vol. 22 No. 22,16 November 2000,3184,The Italy of Human Beings: Felicia Hemans,Frances Wilson
Vol. 22 No. 22,16 November 2000,181,Poem: ‘The Stone House: Dromod Harbour’,Gerard Fanning
Vol. 22 No. 22,16 November 2000,2657,Poetry to Thrill an Oyster: Fitz-Greene Halleck,Gregory Woods
Vol. 22 No. 22,16 November 2000,2012,Shareware: Dave Eggers,Ian Sansom
Vol. 22 No. 22,16 November 2000,2340,Only a Hop and a Skip to Money: gold,James Buchan
Vol. 22 No. 22,16 November 2000,3093,Sex is best when you lose your head,James Meek
Vol. 22 No. 22,16 November 2000,3498,Stinking Rich: Richard Branson,Jenny Diski
Vol. 22 No. 22,16 November 2000,3198,Kenneth Mdala,Megan Vaughan
Vol. 22 No. 22,16 November 2000,688,At the National Portrait Gallery: Painting the Century,Peter Campbell
Vol. 22 No. 22,16 November 2000,6313,Tankishness: Tank by Patrick Wright,Peter Wollen
Vol. 22 No. 22,16 November 2000,696,Four Poems,Robert Crawford
Vol. 22 No. 22,16 November 2000,2813,Is everybody’s life like this?: Amy Levy,Ruth Bernard Yeazell
Vol. 22 No. 22,16 November 2000,1768,Vaguely on the Run: J.G. Ballard,Sam Gilpin
Vol. 22 No. 22,16 November 2000,3352,Somewhat Divine: Isaac Newton,Simon Schaffer
Vol. 22 No. 22,16 November 2000,915,Short Cuts: Dead Babies,Thomas Jones
Vol. 22 No. 23,30 November 2000,2614,What architects said before they said ‘space’: the vocabulary of modern architecture,Andrew Saint
Vol. 22 No. 23,30 November 2000,3992,The Great Lie: Israel,Charles Glass
Vol. 22 No. 23,30 November 2000,1237,Short Cuts: The Kursk,Daniel Soar
Vol. 22 No. 23,30 November 2000,2887,Motoring: James Lees-Milne,Frank Kermode
Vol. 22 No. 23,30 November 2000,3225,The Great US Election Disaster,Hal Foster
Vol. 22 No. 23,30 November 2000,4423,"My Old, Sweet, Darling Mob: Michael Moorcock",Iain Sinclair
Vol. 22 No. 23,30 November 2000,3608,A Dangerously Liquid World: Alcoholics Anonymous,John Sutherland
Vol. 22 No. 23,30 November 2000,5229,Baffled Traveller: Hegel,Jonathan Rée
Vol. 22 No. 23,30 November 2000,1815,I prefer to be an Ottoman: Tariq Ali,Justin Huggler
Vol. 22 No. 23,30 November 2000,2457,Twenty-Two Different Ways of Cooking Veal: modern cuisine,Margaret Visser
Vol. 22 No. 23,30 November 2000,3307,Builder of Ruins: Arthur Evans,Mary Beard
Vol. 22 No. 23,30 November 2000,3004,J. xx Drancy. 13/8/42: Patrick Modiano,Michael Wood
Vol. 22 No. 23,30 November 2000,1585,At the Villa Medici: 17th-Century Religous Paintings,Peter Campbell
Vol. 22 No. 23,30 November 2000,2710,tarry easty: Joyce in Trieste,Roy Foster
Vol. 22 No. 23,30 November 2000,2535,A Man’s Man’s World: kitchens,Steven Shapin
Vol. 22 No. 23,30 November 2000,5186,Forget that I exist: Mary Wollstonecraft,Susan Eilenberg
Vol. 22 No. 24,14 December 2000,2594,No Light on in the House: Richard Brautigan Revisited,August Kleinzahler
Vol. 22 No. 24,14 December 2000,2269,A Long Silence: ‘Englishness’,David A. Bell
Vol. 22 No. 24,14 December 2000,3131,"Perfectly Mobile, Perfectly Still: Land Artists",David Craig
Vol. 22 No. 24,14 December 2000,6625,Palestinians under Siege: putting Palestine on the map,Edward Said
Vol. 22 No. 24,14 December 2000,2962,Morality in the Oxygen: tobogganing,E.S. Turner
Vol. 22 No. 24,14 December 2000,1406,At Tate Britain: William Blake,Frank Kermode
Vol. 22 No. 24,14 December 2000,3280,‘Who is this Ingrid Bergman?’: Stroheim and Rossellini,Gilberto Perez
Vol. 22 No. 24,14 December 2000,4410,The English Disease: Who’s to blame for BSE?,Hugh Pennington
Vol. 22 No. 24,14 December 2000,3198,"Going Flat Out, National Front and All: Watch your mouth!",Ian Hamilton
Vol. 22 No. 24,14 December 2000,1797,Red Sneakers: Karen Bender,Jessica Olin
Vol. 22 No. 24,14 December 2000,3137,Diary,Joseph Farrell
Vol. 22 No. 24,14 December 2000,2367,How Jeans Got Their Fade: mauve and indigo,Peter Campbell
Vol. 22 No. 24,14 December 2000,141,Poem: ‘After Dinner’,Peter Riley
Vol. 22 No. 24,14 December 2000,3018,‘Do they eat people here much still?’ ‘Rarement. Très Rarement.’: Thomas Hodgkin,R.W. Johnson
Vol. 22 No. 24,14 December 2000,7124,Pipe down back there!: The Willa Cather Wars,Terry Castle
Vol. 22 No. 24,14 December 2000,648,Short Cuts: bookshops,Thomas Jones
Vol. 23 No. 1,4 January 2001,6309,Unwritten Masterpiece: Dryden’s ‘Hamlet’,Barbara Everett
Vol. 23 No. 1,4 January 2001,11154,Issues of Truth and Invention: Francis Stuart’s wartime broadcasts,Colm Tóibín
Vol. 23 No. 1,4 January 2001,2878,What is to be done?: death and memory in Russia,Dan Jacobson
Vol. 23 No. 1,4 January 2001,4122,Fade to Greige: Giorgio Armani,Elaine Showalter
Vol. 23 No. 1,4 January 2001,3034,A good God is hard to find: Jenny Diski,James Francken
Vol. 23 No. 1,4 January 2001,4558,"Bohumil Hrabal: the life, times, letters and politics of Czech novelist Bohumil Hrabal",James Wood
Vol. 23 No. 1,4 January 2001,5791,The Groom Stripped Bare by His Suitor: John Lennon,Jeremy Harding
Vol. 23 No. 1,4 January 2001,3347,Diary: Damilola Taylor,John Upton
Vol. 23 No. 1,4 January 2001,323,Poem: ‘Robert Fergusson Night’,Les Murray
Vol. 23 No. 1,4 January 2001,2660,"I, too, am an artist: Dora Maar",Linda Nochlin
Vol. 23 No. 1,4 January 2001,3182,Holy-Rowly-Powliness: The Prayer Book,Patrick Collinson
Vol. 23 No. 1,4 January 2001,708,At the Royal Academy: Turner’s watercolours,Peter Campbell
Vol. 23 No. 1,4 January 2001,3382,Route to Nowhere: European parties of the Left,Peter Mair
Vol. 23 No. 1,4 January 2001,184,Poem: ‘The Golden State’,Stephen Knight
Vol. 23 No. 1,4 January 2001,1073,Short Cuts: Bo yakasha.,Thomas Jones
Vol. 23 No. 1,4 January 2001,338,Poem: ‘The Gifts of Aphrodite’,Tony Harrison
Vol. 23 No. 1,4 January 2001,3227,Where are the grown-ups?: J.D. Salinger’s ex-lover and daughter,Zoë Heller
Vol. 23 No. 2,25 January 2001,9139,Alan Bennett’s 2000 Diary,Alan Bennett
Vol. 23 No. 2,25 January 2001,3581,Every Sodding Thing,Andrew O’Hagan
Vol. 23 No. 2,25 January 2001,3185,Diary: in Chile,Andy Beckett
Vol. 23 No. 2,25 January 2001,3421,Ehud Barak: Ehud Barak,Avi Shlaim
Vol. 23 No. 2,25 January 2001,6138,What are judges for?,Conor Gearty
Vol. 23 No. 2,25 January 2001,4873,Apoplectic Gristle: Wyndham Lewis,David Trotter
Vol. 23 No. 2,25 January 2001,1111,Playing the Seraphine: Penelope Fitzgerald,Frank Kermode
Vol. 23 No. 2,25 January 2001,3946,A Narrow Band of Liberties: global order,Glen Newey
Vol. 23 No. 2,25 January 2001,3104,Look me in the eye: self-portraiture,James Hall
Vol. 23 No. 2,25 January 2001,2783,Landlocked: Henry Green,Lorna Sage
Vol. 23 No. 2,25 January 2001,3487,Hate is the new love: Slavoj Žižek,Malcolm Bull
Vol. 23 No. 2,25 January 2001,623,Behind King’s Cross: Gasometers,Peter Campbell
Vol. 23 No. 2,25 January 2001,2731,An Urbane Scholar in a Wilderness of Tigers: Albert Hourani,Robert Irwin
Vol. 23 No. 2,25 January 2001,905,Short Cuts: the Spectator,Thomas Jones
Vol. 23 No. 2,25 January 2001,277,Poem: ‘Prologue’,Tom Paulin
Vol. 23 No. 3,8 February 2001,2485,Wrinkled v. Round: Gregor Mendel,Andrew Berry
Vol. 23 No. 3,8 February 2001,4197,Tousy-Mousy: Mary Shelley,Anne Barton
Vol. 23 No. 3,8 February 2001,4057,Anatomy of a Constitutional Coup: The 2000 US Election,Bruce Ackerman
Vol. 23 No. 3,8 February 2001,2550,Fear among the Teacups: Ellen Wood,Dinah Birch
Vol. 23 No. 3,8 February 2001,3097,"Sane Cows, or BSE isn’t the worst of it",Edward Luttwak
Vol. 23 No. 3,8 February 2001,2821,Tough Guy: Keith Douglas,Ian Hamilton
Vol. 23 No. 3,8 February 2001,2539,No Meat and Potatoes – Definitely No Chocolate: Haydn studies,James Fletcher
Vol. 23 No. 3,8 February 2001,2362,Einstein at the Bus-Stop: physics,Jenny Diski
Vol. 23 No. 3,8 February 2001,2712,A bird that isn’t there: R.F. Langley,Jeremy Noel-Tod
Vol. 23 No. 3,8 February 2001,2618,Perish the thought: Derek Mahon,John Redmond
Vol. 23 No. 3,8 February 2001,793,Short Cuts: books and balls,John Sturrock
Vol. 23 No. 3,8 February 2001,4262,The G-Word: The Armenian Massacres,Mark Mazower
Vol. 23 No. 3,8 February 2001,406,Two Poems,Matthew Sweeney
Vol. 23 No. 3,8 February 2001,2218,Ready for a Rematch: the Bushes and Saddam Hussein,Michael Byers
Vol. 23 No. 3,8 February 2001,4347,Six Scotches More: Anthony Powell,Michael Wood
Vol. 23 No. 3,8 February 2001,605,Poem: ‘The Mile High Club’,Neil Rollinson
Vol. 23 No. 3,8 February 2001,1157,At the Royal Academy: Caravaggio,Peter Campbell
Vol. 23 No. 3,8 February 2001,3726,‘They Mean us no Harm’: John Maynard Keynes,Ross McKibbin
Vol. 23 No. 3,8 February 2001,3152,Full Tilt: Peter Carey,Thomas Jones
Vol. 23 No. 4,22 February 2001,2629,Diary: The death of Raphael Samuel,Alison Light
Vol. 23 No. 4,22 February 2001,819,Poem: ‘A Nice Place on the Riviera’,Allen Curnow
Vol. 23 No. 4,22 February 2001,434,Three Poems,Charles Simic
Vol. 23 No. 4,22 February 2001,3169,What a shocking bad hat!: Ackroyd’s ‘London’,Christopher Tayler
Vol. 23 No. 4,22 February 2001,7384,Diary of a Dead African,Chuma Nwokolo
Vol. 23 No. 4,22 February 2001,4102,I Don’t Know Whats: Torquato Tasso,Colin Burrow
Vol. 23 No. 4,22 February 2001,3104,"Leur Pays: race, immigration and democracy in America",David Kennedy
Vol. 23 No. 4,22 February 2001,1850,At Sundance: The Sundance Film Festival,Elaine Showalter
Vol. 23 No. 4,22 February 2001,3572,"Maximum Assistance from Good Cooking, Good Clothes, Good Drink: Auden’s Shakespeare",Frank Kermode
Vol. 23 No. 4,22 February 2001,2702,Haleking: Simon Forman,John Bossy
Vol. 23 No. 4,22 February 2001,1861,Me and Thee: Jayne Anne Phillips,Justine Jordan
Vol. 23 No. 4,22 February 2001,2776,Wild-Eyed and Ready to Die: Dawn Powell,Mary Hawthorne
Vol. 23 No. 4,22 February 2001,3490,Mon Pays: Josephine Baker,Michael Rogin
Vol. 23 No. 4,22 February 2001,2215,Blood Boiling: corporate takeover,Paul Foot
Vol. 23 No. 4,22 February 2001,847,At Tate Modern: Century City,Peter Campbell
Vol. 23 No. 4,22 February 2001,2996,Bigger Peaches: Haydon,Rosemary Hill
Vol. 23 No. 4,22 February 2001,3510,How Mugabe came to power: Wilfred Mhanda,R.W. Johnson
Vol. 23 No. 4,22 February 2001,3075,For the hell of it: Norberto Bobbio,Terry Eagleton
Vol. 23 No. 4,22 February 2001,938,"Short Cuts: Anna Karenina, New Puritans, Books on Cooking the Books",Thomas Jones
Vol. 23 No. 4,22 February 2001,6211,Saving Masud Khan: psychoanalysis,Wynne Godley
Vol. 23 No. 5,8 March 2001,3706,Dealing with Disappointment: Bertrand Russell,Adam Phillips
Vol. 23 No. 5,8 March 2001,3402,So much for genes: The Century of the Gene by Evelyn Fox Keller,Adrian Woolfson
Vol. 23 No. 5,8 March 2001,398,Two Poems,August Kleinzahler
Vol. 23 No. 5,8 March 2001,3193,‘I am not dead’: H.C. Andersen,Christopher Prendergast
Vol. 23 No. 5,8 March 2001,1870,Skipping: The history of the novel,Claudia Johnson
Vol. 23 No. 5,8 March 2001,2652,Highway to Modernity: The British Enlightenment,Colin Kidd
Vol. 23 No. 5,8 March 2001,2377,Demented Brothers: William Trevor,Declan Kiberd
Vol. 23 No. 5,8 March 2001,1876,The Small Noise Upstairs: Don DeLillo,Frank Kermode
Vol. 23 No. 5,8 March 2001,4331,Gatsby of the Boulevards: Morton Fullerton,Hermione Lee
Vol. 23 No. 5,8 March 2001,3656,Myrtle Street: The Royal Liverpool Children’s Inquiry,Hugh Pennington
Vol. 23 No. 5,8 March 2001,4318,Cold-Shouldered: John Carey,James Wood
Vol. 23 No. 5,8 March 2001,170,Poem: ‘The Evening of Greuze’,John Ashbery
Vol. 23 No. 5,8 March 2001,3379,"Once a Syrian, always a Syrian: Joseph O’Neill",Maria Margaronis
Vol. 23 No. 5,8 March 2001,2540,The Only Way,Mark Leier
Vol. 23 No. 5,8 March 2001,3651,Baleful Smile of the Crocodile: D.S. Mirsky,Neal Ascherson
Vol. 23 No. 5,8 March 2001,1209,At the Hayward and the British Museum: With Goya and Rembrandt,Peter Campbell
Vol. 23 No. 5,8 March 2001,3338,"‘Look, look, what ails the ship, she is upsetting’: The ship ‘Essex’",Peter Nichols
Vol. 23 No. 5,8 March 2001,4788,Hegel in Green Wellies: England,Stefan Collini
Vol. 23 No. 5,8 March 2001,2065,Settlers v. Natives,Stephen Sedley
Vol. 23 No. 5,8 March 2001,879,Short Cuts: New Writing,Thomas Jones
Vol. 23 No. 5,8 March 2001,2086,Diary: postwar history in Italy,Tobias Jones
Vol. 23 No. 6,22 March 2001,18604,The End of British Farming: British farming,Andrew O’Hagan
Vol. 23 No. 6,22 March 2001,2694,The Greatest Warlord: Hitler,David Blackbourn
Vol. 23 No. 6,22 March 2001,3472,What’s Coming: J.M. Synge,David Edgar
Vol. 23 No. 6,22 March 2001,3134,Yeti: Doris Lessing,Elizabeth Lowry
Vol. 23 No. 6,22 March 2001,3158,The it’s your whole life: Jean-Claude Romand,Iain Bamforth
Vol. 23 No. 6,22 March 2001,2889,"The reproduce, but they don’t eat, breathe or excrete: The history of viruses",James Meek
Vol. 23 No. 6,22 March 2001,3783,Diary: An execution in Kabul,Jason Burke
Vol. 23 No. 6,22 March 2001,2120,My Little Lollipop: Christine Keeler,Jenny Diski
Vol. 23 No. 6,22 March 2001,768,Poem: ‘Disagreeable Glimpses’,John Ashbery
Vol. 23 No. 6,22 March 2001,4457,Latent Prince,John Sturrock
Vol. 23 No. 6,22 March 2001,341,Poem: ‘At Robert Fergusson’s Grave’,Kathleen Jamie
Vol. 23 No. 6,22 March 2001,3680,And Cabbages Too: The Tudors,Patrick Collinson
Vol. 23 No. 6,22 March 2001,1155,At the National Gallery: Paintings from the Berlin Nationalgalerie,Peter Campbell
Vol. 23 No. 6,22 March 2001,4135,Our God is dead: Jean Moulin,Richard Vinen
Vol. 23 No. 6,22 March 2001,1063,Short Cuts: Fastsellers,Thomas Jones
Vol. 23 No. 7,5 April 2001,2227,Diary,Catherine Merridale
Vol. 23 No. 7,5 April 2001,2835,Done Deal: Nixon in China,Christopher Hitchens
Vol. 23 No. 7,5 April 2001,1967,Post-Matricide: Patrick McCabe,Christopher Tayler
Vol. 23 No. 7,5 April 2001,2708,Love is always young and happy: Molière,David Coward
Vol. 23 No. 7,5 April 2001,428,Poem: ‘New Wave’,Derek Mahon
Vol. 23 No. 7,5 April 2001,3419,"Hey, that’s me: Bruce Mau",Hal Foster
Vol. 23 No. 7,5 April 2001,2360,"Drink hard, pray hard and simply vanish: The history of the American revolution",Jack Rakove
Vol. 23 No. 7,5 April 2001,930,At the Royal Academy: Botticelli,Jeremy Harding
Vol. 23 No. 7,5 April 2001,467,Poem: ‘Koi’,John Burnside
Vol. 23 No. 7,5 April 2001,2846,A Fue Respectable Friends: British brass bands,John Lloyd
Vol. 23 No. 7,5 April 2001,4687,Bumming and Booing: William Wordsworth,John Mullan
Vol. 23 No. 7,5 April 2001,4229,Plan Colombia,Malcolm Deas
Vol. 23 No. 7,5 April 2001,2366,Flirting with Dissolution: August Kleinzahler,Mark Ford
Vol. 23 No. 7,5 April 2001,5136,Japan goes Dutch: Japan’s economic troubles,Murray Sayle
Vol. 23 No. 7,5 April 2001,2147,Escaping the curssed orange: Jane Barker,Norma Clarke
Vol. 23 No. 7,5 April 2001,3649,A Wonder and a Scandal: Titian,Peter Campbell
Vol. 23 No. 7,5 April 2001,4235,Leave-Taking: Baader Meinhof Studies,Peter Wollen
Vol. 23 No. 7,5 April 2001,2742,Bad Shepherd: James Hogg,Robert Crawford
Vol. 23 No. 7,5 April 2001,3726,Into the Second Term: New Labour,R.W. Johnson
Vol. 23 No. 7,5 April 2001,703,Short Cuts: Who’s the arts minister?,Thomas Jones
Vol. 23 No. 8,19 April 2001,6768,"The Last Years of Edward Kelley, Alchemist to the Emperor: Edward Kelly",Charles Nicholl
Vol. 23 No. 8,19 April 2001,11818,Love in a Dark Time: Oscar Wilde,Colm Tóibín
Vol. 23 No. 8,19 April 2001,352,Two Poems,Ian Hamilton
Vol. 23 No. 8,19 April 2001,3678,Gossip in Gilt: John Updike’s Licks of Love,James Wood
Vol. 23 No. 8,19 April 2001,3826,Sinking the ‘Bismarck’: the chase,Lawrence Hogben
Vol. 23 No. 8,19 April 2001,3981,Freedom to Tango: contemporary Indian English novels,Michael Wood
Vol. 23 No. 8,19 April 2001,1162,At Tate Britain: Stanley Spencer,Peter Campbell
Vol. 23 No. 8,19 April 2001,6233,Transitology: Failed Crusade: America and the Tragedy of Post-Communist Russia by Stephen Cohen,Stephen Holmes
Vol. 23 No. 8,19 April 2001,14167,Bitter Chill of Winter: Kashmir,Tariq Ali
Vol. 23 No. 8,19 April 2001,3079,Having one’s Kant and eating it: Northrop Frye,Terry Eagleton
Vol. 23 No. 8,19 April 2001,694,Short Cuts: Amis Biz,Thomas Jones
Vol. 23 No. 9,10 May 2001,3522,Onitsha Home Movies: Nigerian films,Adewale Maja-Pearce
Vol. 23 No. 9,10 May 2001,9056,Who had the most fun?: The Marx Brothers,David Bromwich
Vol. 23 No. 9,10 May 2001,2050,"Long Hair, Young Hair, Braided and Defiant Hair: Lavinia Greenlaw",Dinah Birch
Vol. 23 No. 9,10 May 2001,2331,Tired of Giving in: Rosa Parks,Eric Foner
Vol. 23 No. 9,10 May 2001,2685,Nutmegged: The War against Cliché: Essays and Reviews 1971-2000 by Martin Amis.,Frank Kermode
Vol. 23 No. 9,10 May 2001,5974,The dead are all around us: Helen Duncan,Hilary Mantel
Vol. 23 No. 9,10 May 2001,405,Poem: ‘Dear Room’,Hugo Williams
Vol. 23 No. 9,10 May 2001,2593,Keeping Score: Joe DiMaggio,Ian Jackman
Vol. 23 No. 9,10 May 2001,1951,Through Plate-Glass: Jonathan Coe,Ian Sansom
Vol. 23 No. 9,10 May 2001,1044,At the British Museum: The African Galleries,Jeremy Harding
Vol. 23 No. 9,10 May 2001,5540,Tummy-Talkers: Ventriloquists,Jonathan Rée
Vol. 23 No. 9,10 May 2001,4846,The Ugly Revolution: Martin Luther King Jr,Michael Rogin
Vol. 23 No. 9,10 May 2001,7084,On Sebastiano Timpanaro,Perry Anderson
Vol. 23 No. 9,10 May 2001,2624,Slipper Protocol: the seclusion of women,Peter Campbell
Vol. 23 No. 9,10 May 2001,2030,Diary,R.W. Johnson
Vol. 23 No. 9,10 May 2001,986,Short Cuts: Literary Prizes,Thomas Jones
Vol. 23 No. 9,10 May 2001,1208,Two Poems,Tony Harrison
Vol. 23 No. 10,24 May 2001,1958,Composite Person: Pat Barker,Alex Clark
Vol. 23 No. 10,24 May 2001,1349,An Infatuation,Amit Chaudhuri
Vol. 23 No. 10,24 May 2001,562,Two Poems,August Kleinzahler
Vol. 23 No. 10,24 May 2001,3810,"A Cheat, a Sharper and a Swindler: Warren Hastings",Brian Young
Vol. 23 No. 10,24 May 2001,219,Poem: ‘Flies’,Christopher Reid
Vol. 23 No. 10,24 May 2001,4209,Diary,David Craig
Vol. 23 No. 10,24 May 2001,3083,Touches of the Real: Stephen Greenblatt,David Simpson
Vol. 23 No. 10,24 May 2001,2550,Giant Goody Goody: fairytales,Edwin Morgan
Vol. 23 No. 10,24 May 2001,2623,Hallelujah Lasses: The Salvation Army,E.S. Turner
Vol. 23 No. 10,24 May 2001,2576,‘I intend to support white rule’: Allen Tate,Ian Hamilton
Vol. 23 No. 10,24 May 2001,3468,"We Do Ron Ron Ron, We Do Ron Ron: Welcome to McDonald’s",James Meek
Vol. 23 No. 10,24 May 2001,4015,‘Comrade Jiang Zemin does indeed seem a proper choice’: Tiananmen Square,Jasper Becker
Vol. 23 No. 10,24 May 2001,2260,Remember Me: Hamlet,John Bossy
Vol. 23 No. 10,24 May 2001,685,Poem: ‘Forbidden Fellini’,Katia Kapovich
Vol. 23 No. 10,24 May 2001,4555,"Little Brother, Little Sister: Hysteria",Mikkel Borch-Jacobsen
Vol. 23 No. 10,24 May 2001,6815,Reflections on International Space,Neal Ascherson
Vol. 23 No. 10,24 May 2001,2512,Surrealism à la Courbet: Balthus,Nicholas Penny
Vol. 23 No. 10,24 May 2001,836,Short Cuts: Little England,Paul Laity
Vol. 23 No. 10,24 May 2001,955,In Soho: Richard Rogers Partnership,Peter Campbell
Vol. 23 No. 10,24 May 2001,2609,Raider of the Lost Ark: in Soho,Richard Pankhurst
Vol. 23 No. 10,24 May 2001,4626,Dunbar’s Disappearance: William Dunbar,Sally Mapstone
Vol. 23 No. 10,24 May 2001,2339,No One Left to Kill: Achilles,Thomas Jones
Vol. 23 No. 11,7 June 2001,20399,The Laying on of Hands,Alan Bennett
Vol. 23 No. 11,7 June 2001,4971,"Balfour, Weizmann and the Creation of Israel: Palestine",Charles Glass
Vol. 23 No. 11,7 June 2001,2585,The Prodigal Century: Something New under the Sun: An Environmental History of the 20th Century by John McNeill,David Blackbourn
Vol. 23 No. 11,7 June 2001,933,Power Cuts: Brownouts,Edward Luttwak
Vol. 23 No. 11,7 June 2001,1531,Two Mishas and Two Sergeys: Andrey Kurkov,Gabriele Annan
Vol. 23 No. 11,7 June 2001,4539,How do you like your liberalism: fat or thin?: John Gray,Glen Newey
Vol. 23 No. 11,7 June 2001,3302,Like a Carp on a Lawn: Marie D’Agoult,Graham Robb
Vol. 23 No. 11,7 June 2001,2203,In which the Crocodile Snout-Butts the Glass: David Mitchell,James Francken
Vol. 23 No. 11,7 June 2001,3372,Catharama: Heretics,J.L. Nelson
Vol. 23 No. 11,7 June 2001,2191,Heavy Lifting: John Ashbery,John Palattella
